,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.7245456775051572,PottsRegressor
1,1,is_buried,0,0.7054601457047409,PottsRegressor
2,2,is_buried,0,0.7252235449389259,PottsRegressor
3,3,is_buried,0,0.7450007738394452,PottsRegressor
4,4,is_buried,0,0.8105449330133931,PottsRegressor
5,5,is_buried,0,0.7764221350900532,PottsRegressor
6,6,is_buried,0,0.7329720422405669,PottsRegressor
7,7,is_buried,0,0.7265878760524245,PottsRegressor
8,8,is_buried,0,0.7596177675786328,PottsRegressor
9,9,is_buried,0,0.6931712997525155,PottsRegressor
10,0,is_buried,1,0.5400396470431491,PottsRegressor
11,1,is_buried,1,0.57987094446932,PottsRegressor
12,2,is_buried,1,0.5860586440820473,PottsRegressor
13,3,is_buried,1,0.5780580715672794,PottsRegressor
14,4,is_buried,1,0.5297281628926276,PottsRegressor
15,5,is_buried,1,0.5921132298171644,PottsRegressor
16,6,is_buried,1,0.49725101442402825,PottsRegressor
17,7,is_buried,1,0.679971266328658,PottsRegressor
18,8,is_buried,1,0.6448794935973655,PottsRegressor
19,9,is_buried,1,0.43314117290740206,PottsRegressor
20,0,is_connected,0,0.7340070732359029,PottsRegressor
21,1,is_connected,0,0.7357523349286449,PottsRegressor
22,2,is_connected,0,0.6594906738645356,PottsRegressor
23,3,is_connected,0,0.656391210205507,PottsRegressor
24,4,is_connected,0,0.7097155030933353,PottsRegressor
25,5,is_connected,0,0.736080578551479,PottsRegressor
26,6,is_connected,0,0.767155367243419,PottsRegressor
27,7,is_connected,0,0.7757412198516975,PottsRegressor
28,8,is_connected,0,0.814218824154003,PottsRegressor
29,9,is_connected,0,0.7087919057439266,PottsRegressor
30,0,is_connected,1,0.5901921013352661,PottsRegressor
31,1,is_connected,1,0.6473947404607872,PottsRegressor
32,2,is_connected,1,0.6635228683336116,PottsRegressor
33,3,is_connected,1,0.5958917392906146,PottsRegressor
34,4,is_connected,1,0.613884091923463,PottsRegressor
35,5,is_connected,1,0.6919685710144623,PottsRegressor
36,6,is_connected,1,0.6661896276434726,PottsRegressor
37,7,is_connected,1,0.6936812734590309,PottsRegressor
38,8,is_connected,1,0.5161908622517019,PottsRegressor
39,9,is_connected,1,0.6922169168327782,PottsRegressor
40,0,is_close_to_as,0,0.7619001913384387,PottsRegressor
41,1,is_close_to_as,0,0.7517731621137185,PottsRegressor
42,2,is_close_to_as,0,0.8148179369321804,PottsRegressor
43,3,is_close_to_as,0,0.7424856632307745,PottsRegressor
44,4,is_close_to_as,0,0.782973258224363,PottsRegressor
45,5,is_close_to_as,0,0.7656124362907102,PottsRegressor
46,6,is_close_to_as,0,0.7662211823351897,PottsRegressor
47,7,is_close_to_as,0,0.7336705057766728,PottsRegressor
48,8,is_close_to_as,0,0.6967706330596207,PottsRegressor
49,9,is_close_to_as,0,0.6793905975220277,PottsRegressor
50,0,is_close_to_as,1,0.6605953198029084,PottsRegressor
51,1,is_close_to_as,1,0.6277826396035004,PottsRegressor
52,2,is_close_to_as,1,0.7018381736898219,PottsRegressor
53,3,is_close_to_as,1,0.6479999489354505,PottsRegressor
54,4,is_close_to_as,1,0.5906364869590947,PottsRegressor
55,5,is_close_to_as,1,0.6271770330887778,PottsRegressor
56,6,is_close_to_as,1,0.5436806128197754,PottsRegressor
57,7,is_close_to_as,1,0.6818550802364979,PottsRegressor
58,8,is_close_to_as,1,0.5816607220415225,PottsRegressor
59,9,is_close_to_as,1,0.6206204640729975,PottsRegressor
60,0,is_secondary,0,0.7167442901925661,PottsRegressor
61,1,is_secondary,0,0.6731064518232026,PottsRegressor
62,2,is_secondary,0,0.6773511151226219,PottsRegressor
63,3,is_secondary,0,0.701543945719662,PottsRegressor
64,4,is_secondary,0,0.6462284958110598,PottsRegressor
65,5,is_secondary,0,0.7311816640897508,PottsRegressor
66,6,is_secondary,0,0.7069249367023815,PottsRegressor
67,7,is_secondary,0,0.6463307749790386,PottsRegressor
68,8,is_secondary,0,0.5878996278944104,PottsRegressor
69,9,is_secondary,0,0.6545391176394717,PottsRegressor
70,0,is_secondary,1,0.7440390122314987,PottsRegressor
71,1,is_secondary,1,0.7799793925690497,PottsRegressor
72,2,is_secondary,1,0.7505707676139477,PottsRegressor
73,3,is_secondary,1,0.6936600343382077,PottsRegressor
74,4,is_secondary,1,0.7171845477968855,PottsRegressor
75,5,is_secondary,1,0.6976774022869865,PottsRegressor
76,6,is_secondary,1,0.7068133941785534,PottsRegressor
77,7,is_secondary,1,0.7107197699892888,PottsRegressor
78,8,is_secondary,1,0.734823850884488,PottsRegressor
79,9,is_secondary,1,0.7055973218506734,PottsRegressor
