fold,feature,belongs,model,spearman_val
0,is_buried,0,RITARegressor,0.341833477687794
1,is_buried,0,RITARegressor,0.1094242633438145
2,is_buried,0,RITARegressor,0.2800620942125963
3,is_buried,0,RITARegressor,0.3098198455271635
4,is_buried,0,RITARegressor,0.4141454182902766
5,is_buried,0,RITARegressor,0.2679858667014601
6,is_buried,0,RITARegressor,0.320983557612902
7,is_buried,0,RITARegressor,0.4737439358594584
8,is_buried,0,RITARegressor,0.4761485446933696
9,is_buried,0,RITARegressor,0.4402746621077406
0,is_buried,1,RITARegressor,0.4835374351931951
1,is_buried,1,RITARegressor,0.4887214107640508
2,is_buried,1,RITARegressor,0.5603614913928495
3,is_buried,1,RITARegressor,0.5494552948017506
4,is_buried,1,RITARegressor,0.4322379410611842
5,is_buried,1,RITARegressor,0.559494794219268
6,is_buried,1,RITARegressor,0.555993579719232
7,is_buried,1,RITARegressor,0.6642597143269433
8,is_buried,1,RITARegressor,0.6064164185832635
9,is_buried,1,RITARegressor,0.6058826950135923
0,is_connected,0,RITARegressor,0.4064547137055869
1,is_connected,0,RITARegressor,0.2942676713264402
2,is_connected,0,RITARegressor,0.4420204238109065
3,is_connected,0,RITARegressor,0.5262664315625831
4,is_connected,0,RITARegressor,0.502128018083345
5,is_connected,0,RITARegressor,0.408656235493843
6,is_connected,0,RITARegressor,0.4197965508905162
7,is_connected,0,RITARegressor,0.4779305682797108
8,is_connected,0,RITARegressor,0.5655955637870891
9,is_connected,0,RITARegressor,0.4822172045051462
0,is_connected,1,RITARegressor,0.4760981189692468
1,is_connected,1,RITARegressor,0.4342558227261505
2,is_connected,1,RITARegressor,0.5561097702548287
3,is_connected,1,RITARegressor,0.4855657970407918
4,is_connected,1,RITARegressor,0.3557156255370289
5,is_connected,1,RITARegressor,0.5619099890592529
6,is_connected,1,RITARegressor,0.5211855093334272
7,is_connected,1,RITARegressor,0.6095760412656634
8,is_connected,1,RITARegressor,0.6008277531181841
9,is_connected,1,RITARegressor,0.6003000378290413
0,is_close_to_as,0,RITARegressor,0.2395287886863367
1,is_close_to_as,0,RITARegressor,0.2543880036913296
2,is_close_to_as,0,RITARegressor,0.3700013018730509
3,is_close_to_as,0,RITARegressor,0.3536734854630256
4,is_close_to_as,0,RITARegressor,0.3615827673261875
5,is_close_to_as,0,RITARegressor,0.4044970183381062
6,is_close_to_as,0,RITARegressor,0.4221574123524911
7,is_close_to_as,0,RITARegressor,0.5242600839772197
8,is_close_to_as,0,RITARegressor,0.3702373092430034
9,is_close_to_as,0,RITARegressor,0.4163296403109937
0,is_close_to_as,1,RITARegressor,0.5742475486633462
1,is_close_to_as,1,RITARegressor,0.5175701197851121
2,is_close_to_as,1,RITARegressor,0.5589327288354266
3,is_close_to_as,1,RITARegressor,0.6528800958728785
4,is_close_to_as,1,RITARegressor,0.5554368516384216
5,is_close_to_as,1,RITARegressor,0.6006226278100306
6,is_close_to_as,1,RITARegressor,0.5178217740197071
7,is_close_to_as,1,RITARegressor,0.678724984571334
8,is_close_to_as,1,RITARegressor,0.6836610896036084
9,is_close_to_as,1,RITARegressor,0.6040409402866878
0,is_secondary,0,RITARegressor,0.4240149669492637
1,is_secondary,0,RITARegressor,0.3680612537978343
2,is_secondary,0,RITARegressor,0.5194552972730406
3,is_secondary,0,RITARegressor,0.6015726174859557
4,is_secondary,0,RITARegressor,0.4434245632510646
5,is_secondary,0,RITARegressor,0.5938128624150737
6,is_secondary,0,RITARegressor,0.4787766085178963
7,is_secondary,0,RITARegressor,0.5750845790748363
8,is_secondary,0,RITARegressor,0.5821596409294166
9,is_secondary,0,RITARegressor,0.5808885603202715
0,is_secondary,1,RITARegressor,0.4117810571311627
1,is_secondary,1,RITARegressor,0.3915229392414193
2,is_secondary,1,RITARegressor,0.4933050623772668
3,is_secondary,1,RITARegressor,0.5495816463766817
4,is_secondary,1,RITARegressor,0.4384356687963162
5,is_secondary,1,RITARegressor,0.5455340222743014
6,is_secondary,1,RITARegressor,0.5071217928589249
7,is_secondary,1,RITARegressor,0.618241821169098
8,is_secondary,1,RITARegressor,0.6203968882081525
9,is_secondary,1,RITARegressor,0.5604544782832331
