Unnamed: 0,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.4138822042554665,PottsRegressor
1,1,is_buried,0,0.4005470819411022,PottsRegressor
2,2,is_buried,0,0.4357243641903707,PottsRegressor
3,3,is_buried,0,0.3725653987984972,PottsRegressor
4,4,is_buried,0,0.2252211699935943,PottsRegressor
5,5,is_buried,0,0.317807430619276,PottsRegressor
6,6,is_buried,0,0.410486747113104,PottsRegressor
7,7,is_buried,0,0.3425559633662853,PottsRegressor
8,8,is_buried,0,0.3304803414068316,PottsRegressor
9,9,is_buried,0,0.4366549228718339,PottsRegressor
10,0,is_buried,1,0.4952541507245373,PottsRegressor
11,1,is_buried,1,0.5764832672564534,PottsRegressor
12,2,is_buried,1,0.6188583127023424,PottsRegressor
13,3,is_buried,1,0.5266226346496772,PottsRegressor
14,4,is_buried,1,0.5451926905697617,PottsRegressor
15,5,is_buried,1,0.428388099236509,PottsRegressor
16,6,is_buried,1,0.5666106888731152,PottsRegressor
17,7,is_buried,1,0.459276155191219,PottsRegressor
18,8,is_buried,1,0.4453718772181922,PottsRegressor
19,9,is_buried,1,0.4787875902425512,PottsRegressor
20,0,is_connected,0,0.4476312981037663,PottsRegressor
21,1,is_connected,0,0.5630718561604625,PottsRegressor
22,2,is_connected,0,0.4846287042992134,PottsRegressor
23,3,is_connected,0,0.3890819910807047,PottsRegressor
24,4,is_connected,0,0.3638761475994939,PottsRegressor
25,5,is_connected,0,0.3800906064696694,PottsRegressor
26,6,is_connected,0,0.4335441830222417,PottsRegressor
27,7,is_connected,0,0.4020552543978062,PottsRegressor
28,8,is_connected,0,0.3985864825324579,PottsRegressor
29,9,is_connected,0,0.4469796665512294,PottsRegressor
30,0,is_connected,1,0.4763571714298413,PottsRegressor
31,1,is_connected,1,0.4944735321569847,PottsRegressor
32,2,is_connected,1,0.5694101960087115,PottsRegressor
33,3,is_connected,1,0.4862136094937553,PottsRegressor
34,4,is_connected,1,0.4658429263522823,PottsRegressor
35,5,is_connected,1,0.453156140272901,PottsRegressor
36,6,is_connected,1,0.5436632739232855,PottsRegressor
37,7,is_connected,1,0.5011191608515934,PottsRegressor
38,8,is_connected,1,0.539239966220721,PottsRegressor
39,9,is_connected,1,0.4268367482999244,PottsRegressor
40,0,is_close_to_as,0,0.4804539395093576,PottsRegressor
41,1,is_close_to_as,0,0.4163427745364519,PottsRegressor
42,2,is_close_to_as,0,0.3290974879243781,PottsRegressor
43,3,is_close_to_as,0,0.4205995394816572,PottsRegressor
44,4,is_close_to_as,0,0.3432722771420163,PottsRegressor
45,5,is_close_to_as,0,0.3328045740205329,PottsRegressor
46,6,is_close_to_as,0,0.3535841657866034,PottsRegressor
47,7,is_close_to_as,0,0.3510435241772131,PottsRegressor
48,8,is_close_to_as,0,0.3764499402711172,PottsRegressor
49,9,is_close_to_as,0,0.3904667509219023,PottsRegressor
50,0,is_close_to_as,1,0.4240642475026402,PottsRegressor
51,1,is_close_to_as,1,0.5161765724277627,PottsRegressor
52,2,is_close_to_as,1,0.6281336022575787,PottsRegressor
53,3,is_close_to_as,1,0.5445434635826943,PottsRegressor
54,4,is_close_to_as,1,0.4578824812589809,PottsRegressor
55,5,is_close_to_as,1,0.4576141341043265,PottsRegressor
56,6,is_close_to_as,1,0.5752605564308098,PottsRegressor
57,7,is_close_to_as,1,0.405208531708246,PottsRegressor
58,8,is_close_to_as,1,0.4221641765204896,PottsRegressor
59,9,is_close_to_as,1,0.4971823548761275,PottsRegressor
60,0,is_secondary,0,0.5321115665943252,PottsRegressor
61,1,is_secondary,0,0.4138011413873483,PottsRegressor
62,2,is_secondary,0,0.5280684832408971,PottsRegressor
63,3,is_secondary,0,0.5028333735230287,PottsRegressor
64,4,is_secondary,0,0.5353990836749458,PottsRegressor
65,5,is_secondary,0,0.4152037617554859,PottsRegressor
66,6,is_secondary,0,0.5347078209147176,PottsRegressor
67,7,is_secondary,0,0.4201229804678081,PottsRegressor
68,8,is_secondary,0,0.3894783377541999,PottsRegressor
69,9,is_secondary,0,0.41516759102966,PottsRegressor
70,0,is_secondary,1,0.5119811592747486,PottsRegressor
71,1,is_secondary,1,0.5933370695156677,PottsRegressor
72,2,is_secondary,1,0.5584208258690673,PottsRegressor
73,3,is_secondary,1,0.4273922635109964,PottsRegressor
74,4,is_secondary,1,0.4034863116429591,PottsRegressor
75,5,is_secondary,1,0.4274544612284696,PottsRegressor
76,6,is_secondary,1,0.4695713864583907,PottsRegressor
77,7,is_secondary,1,0.4784850968437897,PottsRegressor
78,8,is_secondary,1,0.506380773130586,PottsRegressor
79,9,is_secondary,1,0.4902456485893752,PottsRegressor
